category,precision,recall,f1-score,support
-1,1.0,0.0100502512562814,0.0199004975124378,199.0
0,0.6666666666666666,0.0655737704918032,0.1194029850746268,122.0
1,0.4579439252336448,0.2552083333333333,0.3277591973244146,192.0
2,0.4166666666666667,0.099009900990099,0.16,101.0
3,0.3142857142857143,0.2650602409638554,0.2875816993464052,83.0
4,0.2807017543859649,0.4933920704845815,0.3578274760383386,227.0
5,0.0933333333333333,0.125,0.1068702290076336,168.0
6,0.492063492063492,0.3009708737864077,0.3734939759036145,103.0
7,0.75,0.0352941176470588,0.0674157303370786,85.0
8,0.4962406015037593,0.5409836065573771,0.5176470588235293,122.0
9,0.7606382978723404,0.5257352941176471,0.6217391304347827,272.0
10,0.4583333333333333,0.4325842696629213,0.4450867052023121,178.0
11,0.6451612903225806,0.3623188405797101,0.4640371229698375,276.0
12,0.4,0.0444444444444444,0.0799999999999999,90.0
13,0.4375,0.1337579617834395,0.2048780487804878,157.0
14,0.4565217391304347,0.7567567567567568,0.5694915254237288,111.0
15,0.5761904761904761,0.4172413793103448,0.484,290.0
16,0.4,0.0452488687782805,0.08130081300813,221.0
17,0.4257425742574257,0.2311827956989247,0.2996515679442508,186.0
18,0.7252747252747253,0.2704918032786885,0.3940298507462687,244.0
19,0.3571428571428571,0.3623188405797101,0.3597122302158273,138.0
20,0.2258064516129032,0.1099476439790576,0.147887323943662,191.0
21,0.75,0.0150753768844221,0.0295566502463054,199.0
22,0.1192660550458715,0.2765957446808511,0.1666666666666666,141.0
23,0.3559322033898305,0.3579545454545454,0.3569405099150141,176.0
24,0.2666666666666666,0.1290322580645161,0.1739130434782608,155.0
25,0.5,0.09375,0.1578947368421052,64.0
26,0.5426008968609866,0.4745098039215686,0.506276150627615,255.0
27,0.2666666666666666,0.0522875816993464,0.087431693989071,153.0
28,0.7335766423357665,0.7282608695652174,0.730909090909091,276.0
29,0.3818181818181818,0.1834061135371179,0.247787610619469,229.0
30,0.8333333333333334,0.7117437722419929,0.7677543186180423,281.0
31,0.037037037037037,0.08,0.050632911392405,25.0
32,0.6285714285714286,0.6984126984126984,0.6616541353383458,63.0
33,0.4736842105263157,0.0638297872340425,0.1124999999999999,141.0
35,0.4671532846715328,0.3615819209039548,0.4076433121019108,177.0
36,0.4444444444444444,0.0620155038759689,0.1088435374149659,129.0
37,0.0,0.0,0.0,57.0
38,0.2857142857142857,0.0184331797235023,0.0346320346320346,217.0
39,0.660377358490566,0.1891891891891892,0.2941176470588235,185.0
40,0.6222222222222222,0.64,0.6309859154929577,350.0
41,0.1621621621621621,0.2,0.1791044776119403,120.0
42,0.375,0.2121212121212121,0.2709677419354838,99.0
43,0.8040816326530612,0.7060931899641577,0.7519083969465649,279.0
44,0.2244897959183673,0.2894736842105263,0.2528735632183908,76.0
45,0.25,0.074074074074074,0.1142857142857142,81.0
46,0.4,0.0344827586206896,0.0634920634920634,116.0
47,0.5,0.0082644628099173,0.016260162601626,121.0
48,0.625,0.078125,0.1388888888888889,64.0
49,0.0446428571428571,0.2083333333333333,0.0735294117647058,48.0
50,0.6944444444444444,0.2272727272727272,0.3424657534246575,110.0
51,0.5796460176991151,0.5282258064516129,0.5527426160337553,248.0
52,0.4710743801652892,0.3958333333333333,0.430188679245283,144.0
53,0.3076923076923077,0.0597014925373134,0.0999999999999999,67.0
54,0.75,0.0555555555555555,0.1034482758620689,108.0
55,0.09375,0.044776119402985,0.0606060606060606,134.0
56,0.4156626506024096,0.4928571428571429,0.4509803921568627,140.0
57,0.4634146341463415,0.1809523809523809,0.2602739726027397,105.0
58,0.6896551724137931,0.4098360655737705,0.5141388174807198,244.0
59,0.381404174573055,0.7472118959107806,0.5050251256281407,269.0
60,0.0,0.0,0.0,53.0
61,0.4444444444444444,0.2162162162162162,0.2909090909090909,111.0
62,0.7134502923976608,0.3765432098765432,0.4929292929292929,324.0
63,0.4565217391304347,0.375,0.4117647058823528,112.0
64,0.2926829268292683,0.0609137055837563,0.1008403361344537,197.0
65,0.1719197707736389,0.5660377358490566,0.2637362637362637,106.0
66,0.1228070175438596,0.1085271317829457,0.1152263374485596,129.0
67,0.5056179775280899,0.1851851851851851,0.2710843373493975,243.0
68,0.5147058823529411,0.4545454545454545,0.4827586206896551,154.0
69,0.2189349112426035,0.25,0.2334384858044164,148.0
70,0.2621951219512195,0.3208955223880597,0.2885906040268456,134.0
71,0.1860465116279069,0.3595505617977528,0.2452107279693486,89.0
72,0.2964601769911504,0.2723577235772357,0.2838983050847457,246.0
73,0.1818181818181818,0.0625,0.0930232558139534,32.0
74,0.3333333333333333,0.1402877697841726,0.1974683544303797,278.0
75,0.8148148148148148,0.0852713178294573,0.1543859649122806,258.0
77,0.5,0.4219409282700422,0.4576659038901602,237.0
78,0.25,0.0229885057471264,0.0421052631578947,87.0
79,0.4082397003745318,0.5706806282722513,0.4759825327510917,191.0
80,0.1217105263157894,0.3274336283185841,0.1774580335731415,113.0
81,0.5245901639344263,0.1777777777777777,0.2655601659751037,180.0
82,0.7132352941176471,0.4429223744292237,0.5464788732394366,219.0
83,0.5230769230769231,0.2677165354330709,0.3541666666666667,127.0
84,0.0,0.0,0.0,80.0
85,0.5454545454545454,0.1209677419354838,0.198019801980198,248.0
86,0.1538461538461538,0.0344827586206896,0.056338028169014,58.0
87,0.0825688073394495,0.1153846153846153,0.0962566844919786,78.0
88,0.0,0.0,0.0,43.0
89,0.3333333333333333,0.008695652173913,0.0169491525423728,115.0
90,0.6428571428571429,0.3785046728971962,0.4764705882352941,214.0
91,0.6260869565217392,0.2823529411764706,0.3891891891891892,255.0
92,0.4761904761904761,0.145985401459854,0.2234636871508379,137.0
93,0.228310502283105,0.2645502645502645,0.2450980392156862,189.0
94,0.5961538461538461,0.2214285714285714,0.3229166666666667,280.0
